Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-05,Murder,Solved,Westminster,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,May-05,Murder,Solved,Westminster,Asian
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,Jun-05,Murder,Solved,Westminster,Black
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Feb-06,Murder,Solved,Wandsworth,White
1,13 to19,Male,Shooting,Not Domestic Abuse,Apr-06,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-06,Murder,Solved,Wandsworth,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-06,Murder,Solved,Wandsworth,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Wandsworth,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Jul-06,Murder,Solved,Wandsworth,White
1,45 to 54,Male,Shooting,Not Domestic Abuse,Sep-06,Murder,Unsolved,Wandsworth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-06,Murder,Unsolved,Wandsworth,Black
1,45 to 54,Male,"Physical Assault, no weapon",Domestic Abuse,May-06,Murder,Solved,Kingston Upon Thames,White
1,55 to 64,Female,Blunt Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Kingston Upon Thames,Other
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jan-06,Murder,Solved,Hounslow,Asian
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-06,Murder,Solved,Hounslow,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,May-06,Murder,Solved,Hounslow,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Hounslow,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Oct-06,Murder,Solved,Hounslow,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Richmond Upon Thames,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Hillingdon,White
1,65 and over,Female,Other Methods of Killing,Domestic Abuse,Jan-06,Murder,Solved,Hillingdon,White
1,35 to 44,Female,"Physical Assault, no weapon",Domestic Abuse,Feb-06,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Oct-06,Murder,Solved,Hillingdon,White
1,65 and over,Female,Blunt Implement,Not Domestic Abuse,Nov-06,Murder,Solved,Hillingdon,Asian
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,Nov-06,Murder,Solved,Hillingdon,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,Jan-06,Murder,Solved,Lambeth,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Feb-06,Murder,Solved,Lambeth,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-06,Murder,Solved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-06,Murder,Unsolved,Lambeth,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Apr-06,Murder,Solved,Lambeth,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,May-06,Murder,Solved,Lambeth,Asian
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Lambeth,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Lambeth,White
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Oct-06,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Dec-06,Murder,Unsolved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Feb-06,Murder,Solved,Merton,White
1,20 to 24,Female,Not known/Not Recorded,Domestic Abuse,Feb-06,Murder,Solved,Merton,Other
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Merton,White
1,25 to 34,Male,Not known/Not Recorded,Domestic Abuse,Oct-06,Murder,Solved,Merton,White
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-06,Murder,Solved,Merton,White
1,35 to 44,Male,"Physical Assault, no weapon",Domestic Abuse,Dec-06,Murder,Solved,Merton,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Jan-06,Murder,Unsolved,Brent,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Brent,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,May-06,Murder,Solved,Brent,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,Jul-06,Murder,Solved,Brent,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,Oct-06,Murder,Solved,Brent,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Aug-06,Murder,Solved,Harrow,Asian
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Harrow,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Camden,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Jan-06,Murder,Solved,Camden,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Camden,Black
1,65 and over,Female,Not known/Not Recorded,Domestic Abuse,Mar-06,Murder,Solved,Camden,White
1,65 and over,Male,Not known/Not Recorded,Not Domestic Abuse,Jun-06,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Camden,White
1,65 and over,Male,Other Methods of Killing,Domestic Abuse,Jul-06,Murder,Solved,Camden,White
1,25 to 34,Male,Other Methods of Killing,Domestic Abuse,Sep-06,Murder,Solved,Camden,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,Sep-06,Murder,Unsolved,Camden,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-06,Murder,Solved,Camden,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Apr-06,Murder,Solved,Barnet,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Barnet,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jul-06,Murder,Solved,Barnet,White
1,13 to19,Male,Other Methods of Killing,Not Domestic Abuse,Nov-06,Murder,Solved,Barnet,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-06,Murder,Unsolved,Ealing ,Asian
1,55 to 64,Male,Knife or Sharp Implement,Domestic Abuse,May-06,Murder,Solved,Ealing ,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Ealing ,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Ealing ,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jul-06,Murder,Solved,Ealing ,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic Abuse,Sep-06,Murder,Solved,Ealing ,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Sep-06,Murder,Solved,Ealing ,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,Oct-06,Murder,Solved,Ealing ,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Apr-06,Murder,Solved,Islington,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Islington,White
1,13 to19,Male,Shooting,Not Domestic Abuse,Aug-06,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Islington,Black
1,0 to 12,Female,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Haringey,White
1,13 to19,Male,Shooting,Not Domestic Abuse,Oct-06,Murder,Unsolved,Haringey,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Dec-06,Murder,Solved,Haringey,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-06,Murder,Solved,Southwark,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Jul-06,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Southwark,White
1,13 to19,Male,Shooting,Not Domestic Abuse,Nov-06,Murder,Unsolved,Southwark,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Dec-06,Murder,Solved,Southwark,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Lewisham,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-06,Murder,Solved,Lewisham,Black
1,65 and over,Male,Not known/Not Recorded,Not Domestic Abuse,Jul-06,Murder,Solved,Lewisham,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Sep-06,Murder,Unsolved,Lewisham,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-06,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-06,Murder,Solved,Bromley,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-06,Murder,Solved,Bromley,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,May-06,Murder,Solved,Bromley,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,Mar-06,Murder,Solved,Greenwich,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-06,Murder,Solved,Greenwich,White
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Sep-06,Murder,Unsolved,Greenwich,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Oct-06,Murder,Solved,Greenwich,Asian
1,35 to 44,Female,Other Methods of Killing,Domestic Abuse,Jan-06,Murder,Solved,Croydon,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Feb-06,Murder,Solved,Croydon,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Mar-06,Murder,Solved,Croydon,Black
1,20 to 24,Female,Shooting,Not Domestic Abuse,Mar-06,Murder,Solved,Croydon,Black
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Croydon,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Croydon,White
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,Jul-06,Murder,Unsolved,Croydon,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-06,Murder,Solved,Merton,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,Feb-06,Murder,Solved,Bexley,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Bexley,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Bexley,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Dec-06,Murder,Solved,Sutton,White
1,0 to 12,Female,Blunt Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Sutton,Black
1,65 and over,Male,"Physical Assault, no weapon",Not Domestic Abuse,Dec-06,Murder,Solved,Tower Hamlets,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Jan-06,Murder,Solved,Hackney,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jan-06,Manslaughter,Unsolved,Hackney,White
1,20 to 24,Male,Not known/Not Recorded,Not Domestic Abuse,Feb-06,Murder,Solved,Hackney,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-06,Murder,Solved,Hackney,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Apr-06,Murder,Unsolved,Hackney,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Hackney,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Hackney,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-06,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-06,Murder,Unsolved,Hackney,Black
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Hackney,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Mar-06,Murder,Solved,Waltham Forest,White
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,Jun-06,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Waltham Forest,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Sep-06,Murder,Unsolved,Waltham Forest,Black
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Waltham Forest,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Apr-06,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Apr-06,Manslaughter,Solved,Barking & Dagenham,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Apr-06,Manslaughter,Solved,Barking & Dagenham,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Apr-06,Manslaughter,Solved,Barking & Dagenham,Black
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,Jun-06,Murder,Solved,Barking & Dagenham,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Barking & Dagenham,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-06,Murder,Unsolved,Barking & Dagenham,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Jan-06,Manslaughter,Unsolved,Enfield,Unrecorded / Unknown
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-06,Murder,Solved,Enfield,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,Apr-06,Murder,Solved,Enfield,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Jul-06,Murder,Solved,Enfield,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Jan-06,Murder,Solved,Newham,Asian
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,Jan-06,Murder,Solved,Newham,White
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,Feb-06,Murder,Unsolved,Newham,Asian
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Feb-06,Murder,Solved,Newham,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Mar-06,Murder,Solved,Newham,Asian
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,Apr-06,Murder,Solved,Newham,Asian
1,13 to19,Male,Other Methods of Killing,Not Domestic Abuse,Apr-06,Manslaughter,Solved,Newham,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Newham,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Aug-06,Murder,Solved,Newham,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Newham,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Sep-06,Murder,Solved,Newham,White
1,35 to 44,Male,Blunt Implement,Not Domestic Abuse,Sep-06,Murder,Solved,Newham,White
1,13 to19,Male,Knife or Sharp Implement,Domestic Abuse,Oct-06,Murder,Unsolved,Newham,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Newham,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Mar-06,Murder,Solved,Havering,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Apr-06,Murder,Solved,Havering,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,May-06,Murder,Solved,Havering,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-06,Murder,Solved,Havering,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Havering,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic Abuse,Dec-06,Murder,Solved,Havering,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Jan-06,Murder,Solved,Kensington & Chelsea,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-06,Murder,Solved,Kensington & Chelsea,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,May-06,Murder,Unsolved,Hammersmith & Fulham,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-06,Murder,Solved,Hammersmith & Fulham,Unrecorded / Unknown
1,55 to 64,Male,Not known/Not Recorded,Not Domestic Abuse,Feb-06,Murder,Unsolved,Westminster,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Westminster,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Mar-06,Murder,Solved,Westminster,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-06,Murder,Solved,Westminster,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-07,Murder,Solved,Wandsworth,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Mar-07,Murder,Solved,Wandsworth,Asian
1,20 to 24,Female,Shooting,Not Domestic Abuse,Apr-07,Murder,Solved,Wandsworth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Wandsworth,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Kingston Upon Thames,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Jan-07,Murder,Unsolved,Hounslow,White
1,65 and over,Female,Blunt Implement,Domestic Abuse,Aug-07,Murder,Solved,Hounslow,White
1,25 to 34,Male,Blunt Implement,Domestic Abuse,Sep-07,Murder,Solved,Hounslow,Unrecorded / Unknown
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-07,Murder,Solved,Hillingdon,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-07,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,May-07,Murder,Solved,Hillingdon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-07,Murder,Solved,Hillingdon,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,Jan-07,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-07,Murder,Solved,Lambeth,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Feb-07,Murder,Unsolved,Lambeth,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Feb-07,Murder,Unsolved,Lambeth,Unrecorded / Unknown
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-07,Murder,Unsolved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-07,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,Asian
1,0 to 12,Female,Other Methods of Killing,Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Jun-07,Murder,Solved,Lambeth,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,Jul-07,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Blunt Implement,Domestic Abuse,Jul-07,Murder,Solved,Lambeth,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Jul-07,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-07,Murder,Solved,Lambeth,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Aug-07,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Aug-07,Murder,Solved,Lambeth,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-07,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Sep-07,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-07,Murder,Solved,Lambeth,Other
1,20 to 24,Male,Shooting,Not Domestic Abuse,Oct-07,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Oct-07,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,Aug-07,Murder,Solved,Brent,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-07,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jun-07,Murder,Solved,Camden,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-07,Murder,Solved,Camden,White
1,55 to 64,Female,Knife or Sharp Implement,Not Domestic Abuse,Aug-07,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,Sep-07,Murder,Solved,Camden,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,Jan-07,Murder,Solved,Barnet,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Barnet,White
1,0 to 12,Male,"Physical Assault, no weapon",Not Domestic Abuse,Oct-07,Murder,Solved,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-07,Murder,Solved,Ealing ,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-07,Murder,Solved,Ealing ,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,May-07,Murder,Solved,Ealing ,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Ealing ,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,Jun-07,Murder,Unsolved,Ealing ,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-07,Murder,Solved,Ealing ,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Sep-07,Murder,Unsolved,Ealing ,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Feb-07,Murder,Solved,Islington,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Islington,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-07,Murder,Solved,Islington,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-07,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Jan-07,Manslaughter,Unsolved,Haringey,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Jun-07,Murder,Solved,Haringey,White
1,13 to19,Female,Shooting,Not Domestic Abuse,Jun-07,Murder,Solved,Haringey,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Aug-07,Murder,Solved,Haringey,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,Nov-07,Manslaughter,Solved,Haringey,Asian
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Nov-07,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-07,Murder,Solved,Southwark,Black
1,45 to 54,Male,Shooting,Not Domestic Abuse,Feb-07,Murder,Solved,Southwark,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Feb-07,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic Abuse,Apr-07,Murder,Solved,Southwark,Asian
1,25 to 34,Male,Other Methods of Killing,Domestic Abuse,Aug-07,Murder,Solved,Southwark,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Sep-07,Murder,Unsolved,Southwark,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-07,Murder,Unsolved,Southwark,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Dec-07,Murder,Solved,Southwark,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,Dec-07,Murder,Unsolved,Southwark,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,May-07,Murder,Solved,Lewisham,Black
1,25 to 34,Female,Shooting,Not Domestic Abuse,Oct-07,Murder,Solved,Lewisham,White
1,45 to 54,Female,Other Methods of Killing,Not Domestic Abuse,Oct-07,Murder,Solved,Lewisham,Black
1,65 and over,Female,Other Methods of Killing,Domestic Abuse,Nov-07,Murder,Solved,Lewisham,White
1,35 to 44,Female,Other Methods of Killing,Domestic Abuse,Feb-07,Murder,Solved,Bromley,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-07,Murder,Solved,Bromley,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,May-07,Murder,Solved,Bromley,White
1,55 to 64,Male,"Physical Assault, no weapon",Not Domestic Abuse,Jun-07,Murder,Solved,Bromley,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-07,Murder,Solved,Bromley,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Nov-07,Murder,Unsolved,Bromley,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Dec-07,Murder,Solved,Bromley,White
